"","datas.1","datas.2"
"1",0.377140224847948,0.942798199735816
"2",0.373194420237363,0.929966235890029
"3",0.379216690019333,0.937097348007723
"4",0.374274141964128,0.938095980426103
"5",0.376328429509193,0.934988013995712
"6",0.374619334509081,0.939657286694223
"7",0.37414767091635,0.940043040645414
"8",0.37198711166692,0.939094331614153
"9",0.3762427647665,0.935583579895692
"10",0.384748513569753,0.944616822774319
"11",0.369087333731021,0.939883532132786
"12",0.382634071805719,0.938759668025281
"13",0.383168113856971,0.946112385683764
"14",0.380757822697816,0.942898808640228
"15",0.36159937947015,0.938827165556072
"16",0.381443387970967,0.934050245958626
"17",0.37414642306193,0.939900141736199
"18",0.372122304762648,0.939942836173749
"19",0.866203510480699,0.0580318499168177
"20",0.863886259547077,0.0624288089945629
"21",0.871192751624864,0.0514611605128745
"22",0.867167007890002,0.0615676353595318
"23",0.866303190867117,0.0600063900720366
"24",0.859438841697384,0.073177609648392
"25",0.85869354343588,0.0714909745620284
"26",0.869661216943972,0.0709737131805473
"27",0.86384132022918,0.0500523860078581
"28",0.873624427685654,0.0557071718276468
"29",0.864919686201443,0.0701999704270243
"30",0.860967043829741,0.0655957861150411
"31",0.865736876695812,0.0632579245822511
"32",0.866240880346448,0.0612582631640089
"33",0.865595813921264,0.0630016902092608
"34",0.856474984915932,0.0527585235459585
"35",0.863597638723962,0.0638528735080516
"36",0.879112077436817,0.0636984952571767
"37",0.874413050765685,0.0620764156619606
"38",0.867472681667387,0.0631801010910487
"39",0.865876488076532,0.0540272278183607
"40",0.867454625647511,0.0731747887033196
